Codigo Nacional,Nombre Completo,Laboratorio,PVP IVA,Indicaciones,Principios Activos,Clasificacion ATC,Imagen_URL,Video_URL
700693,A.A.S. 500 mg 20 COMPRIMIDOS,STADA S.L,"2,5","""ADMINISTRACIÓN ORAL""
 
 
 
 - Tratamiento sintomático de [DOLOR] ocasional leve a moderado, como [CEFALEA], [ODONTALGIA], [DISMENORREA] y [MIALGIA], como [CONTRACTURA MUSCULAR], [DOLOR DE ESPALDA] o [LUMBALGIA]. 
 
 
 
 - Tratamiento de [FIEBRE].","ACETILSALICILICO, ACIDO (ANALGESICO) 500.0 MILIGRAMOS",ACIDO SALICILICO Y DERIVADOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/391123/42956_materialas.jpg,https://www.youtube.com/watch?v=4t1ch5dTICA
961227,ABRASONE RECTAL CREMA RECTAL 1 TUBO 30 g,"ANOTACIONES FARMACEUTICAS, S.L.","11,55","[HEMORROIDES]: Tratamiento de síndromes congestivos e inflamatorios anorrectales que cursen con infección producida por gérmenes sensibles a la hexetidina: hemorroides externas e internas, eczemas anorrectales, proctitis, prurito anal, fisuras.",FLUOCINONIDO (RECTAL) 0.25 MILIGRAMOS; HEXETIDINA 1.0 MILIGRAMOS; RUSCOGENINA 8.0 MILIGRAMOS,CORTICOSTEROIDES [N4],,
738377,ABRILIA 20 mg 14 COMPRIMIDOS,NORMON,"13,85","- Tratamiento sintomático de [RINITIS ALERGICA ESTACIONAL], [RINITIS ALERGICA PERENNE] y [CONJUNTIVITIS ALERGICA]. 
 
 
 
 - Tratamiento sintomático de la [URTICARIA].",BILASTINA 20.0 MILIGRAMOS,OTROS ANTIHISTAMINICOS PARA USO SISTEMICO [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/402258/85180_materialas.jpg,https://www.youtube.com/watch?v=UzTVxxgE6co
738376,ABRILIA EFG 20 mg 7 COMPRIMIDOS (BLISTER Al/Al/PA-PVC),NORMON,"8,9","- Tratamiento sintomático de [RINITIS ALERGICA ESTACIONAL], [RINITIS ALERGICA PERENNE] y [CONJUNTIVITIS ALERGICA]. 
 
 
 
 - Tratamiento sintomático de la [URTICARIA].",BILASTINA 20.0 MILIGRAMOS,OTROS ANTIHISTAMINICOS PARA USO SISTEMICO [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/402258/85180_materialas.jpg,https://www.youtube.com/watch?v=UzTVxxgE6co
866665,ACEITE DE RICINO REIG JOFRE 1 g/ml LIQUIDO ORAL 1 FRASCO 25 ml,REIG JOFRE,"5,96","- [VACIADO GASTROINTESTINAL] prerradiografía o preoperatorio. 
 
 
 
 - [INTOXICACION POR ALIMENTOS].",RICINO ACEITE DE 1.0 GRAMOS,LAXANTES DE CONTACTO [N4],,
723720,ACETILCISTEINA MABO 600 mg 10 COMPRIMIDOS EFERVESCENTES (SABOR NARANJA),MABO FARMA,"5,93","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],,https://www.youtube.com/watch?v=OHCW9XFCzoA
656456,ACETILCISTEINA KERN PHARMA EFG 600 mg 20 COMPRIMIDOS EFERVESCENTES,KERN PHARMA,"5,6","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],,https://www.youtube.com/watch?v=OHCW9XFCzoA
654306,ACETILCISTEINA MABO 600 mg 20 COMPRIMIDOS EFERVESCENTES (SABOR NARANJA),MABO FARMA,"4,95","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],,https://www.youtube.com/watch?v=OHCW9XFCzoA
703245,ACETILCISTEINA SANDOZ CARE EFG 600 mg 10 COMPRIMIDOS EFERVESCENTES,SANDOZ FARMACEUTICA S.A.,"6,45","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/297758/67988_materialas.jpg,https://www.youtube.com/watch?v=OHCW9XFCzoA
655938,ACETILCISTEINA SANDOZ CARE EFG 600 mg 20 COMPRIMIDOS EFERVESCENTES (sobres),SANDOZ FARMACEUTICA S.A.,"6,71","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/297758/67988_materialas.jpg,https://www.youtube.com/watch?v=OHCW9XFCzoA
654568,ACETILCISTEINA STADA EFG 600 mg 20 COMPRIMIDOS EFERVESCENTES (TUBO),STADA S.L,"6,53","- [HIPERVISCOSIDAD BRONQUIAL].
 
 
 
 * Tratamiento coadyuvante en procesos respiratorios que cursan con secreción mucosa excesiva o espesa, tales como [BRONQUITIS AGUDA] o [BRONQUITIS CRONICA], [ENFISEMA PULMONAR], [ATELECTASIA] debidas a obstrucción mucosa, complicaciones pulmonares de [FIBROSIS QUISTICA] y otras patologías relacionadas.",ACETILCISTEINA 600.0 MILIGRAMOS,MUCOLITICOS [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/202636/67874_materialas_1.jpg,https://www.youtube.com/watch?v=OHCW9XFCzoA
658190,ACICLOVIR SANDOZ EFG 50 mg/g CREMA 1 TUBO 2 g,SANDOZ FARMACEUTICA S.A.,"4,45","Labial: 
 
 
 
 - Tratamiento de los síntomas del [HERPES SIMPLE LABIAL], como picor, escozor u hormigueo.",ACICLOVIR (TOPICO) 50.0 MILIGRAMOS,ANTIVIRALES [N4],http://botplusweb.farmaceuticos.com//Documentos/AEMPS/Fotos/203298/68296_materialas.jpg,https://www.youtube.com/watch?v=UuaGAlHsC5E
960518,ACTIMAG 400 mg/ml SOLUCION ORAL 1 FRASCO 100 ml,FAES FARMA,"17,36","[DEFICIT DE MAGNESIO]: alteraciones patológicas asociadas a deficiencia de magnesio, tal como puede ocurrir en: hipomagnesemia, malabsorción, alcoholismo crónico, diarrea o vómitos profusos, aldosteronismo, pancreatitis, tratamiento prolongado con diuréticos, etc.","MAGNESIO, PIDOLATO 400.0 MILIGRAMOS",MAGNESIO [N4],,
711685,ACTRON COMPUESTO DIFARMED 267 mg/133 mg/40 mg 20 COMPRIMIDOS EFERVESCENTES,DIFARMED,"11,41","- Alivio sintómatico del [DOLOR] ocasional leve o moderado, como dolor de cabeza, dolor dental o dolor menstrual, y [FIEBRE].","ACETILSALICILICO, ACIDO (ANALGESICO) 267.0 MILIGRAMOS; PARACETAMOL 133.0 MILIGRAMOS; CAFEINA 40.0 MILIGRAMOS",ACIDO SALICILICO Y DERIVADOS [N4],,https://www.youtube.com/watch?v=jrSrRyLf0vU
